accel.x_mean,accel.x_std,accel.x_min,accel.x_max,accel.x_energy,accel.x_dom_freq,accel.y_mean,accel.y_std,accel.y_min,accel.y_max,accel.y_energy,accel.y_dom_freq,accel.z_mean,accel.z_std,accel.z_min,accel.z_max,accel.z_energy,accel.z_dom_freq,gyro.x_mean,gyro.x_std,gyro.x_min,gyro.x_max,gyro.x_energy,gyro.x_dom_freq,gyro.y_mean,gyro.y_std,gyro.y_min,gyro.y_max,gyro.y_energy,gyro.y_dom_freq,gyro.z_mean,gyro.z_std,gyro.z_min,gyro.z_max,gyro.z_energy,gyro.z_dom_freq,label,source
-2.8865999999999996,0.05221532342138661,-2.99,-2.76,416.7593,0.0,8.7662,0.029589863129118956,8.7,8.83,3842.3569,0.0,-4.2707999999999995,0.03571218279523107,-4.34,-4.16,912.0504,0.0,0.012000000000000002,0.005291502622129182,0.0,0.02,0.0086,0.0,0.038400000000000004,0.015538339679644027,0.0,0.09,0.0858,0.0,-0.008,0.00824621125123532,-0.03,0.0,0.0066,0.0,repos,repos_initial_FV.csv
-0.6406000000000001,1.1796667495526014,-3.53,2.16,90.0991,0.0,-1.0662,0.14399847221411763,-1.33,-0.84,57.8759,0.0,-11.3012,0.46556047942238393,-12.42,-10.09,6396.693399999999,0.0,0.029800000000000004,0.0364686166450004,-0.05,0.08,0.1109,0.0,0.001999999999999986,0.8148153164981621,-1.97,1.89,33.196400000000004,5.712000000000001,-0.0034000000000000002,0.04909623203464803,-0.14,0.07,0.12110000000000003,2.8560000000000003,frisson,frisson_allonge_FV.csv
-0.8510000000000001,0.4209287350609364,-1.73,-0.05,45.0691,0.0,-1.1682,0.08019201955307022,-1.4,-0.98,68.5561,0.0,-11.28,0.2827083302628346,-11.92,-10.63,6365.9162,0.0,0.013999999999999999,0.0327414110874898,-0.06,0.09,0.0634,4.284000000000001,-0.011799999999999998,0.28423715450306636,-0.54,0.59,4.0465,8.568000000000001,0.0152,0.020517309765171455,-0.02,0.07,0.0326,0.0,frisson,frisson_allonge_FV.csv
-0.9752,0.6752132700117793,-2.91,1.23,70.3464,0.0,-1.1505999999999998,0.10012811792898135,-1.39,-0.95,66.6953,0.0,-11.2678,0.18718215726932957,-11.59,-10.84,6349.9177,0.0,0.009399999999999999,0.015672906558772053,-0.02,0.04,0.016700000000000003,0.0,0.0722,0.4573851331208744,-0.69,1.48,10.720700000000003,5.712000000000001,0.0019999999999999996,0.018000000000000002,-0.06,0.03,0.0164,2.8560000000000003,frisson,frisson_allonge_FV.csv
-0.9706,0.9286708997271315,-4.28,1.1,90.22469999999998,0.0,-1.155,0.09053728513711906,-1.31,-0.96,67.11110000000001,0.0,-11.253400000000001,0.3804871088486442,-12.38,-10.46,6339.1891000000005,0.0,0.016800000000000002,0.035408473562129165,-0.09,0.07,0.07680000000000001,0.0,0.06839999999999997,0.5639693608698969,-1.73,1.11,16.137,7.140000000000001,0.0142,0.0537062379989513,-0.07,0.1,0.1543,2.8560000000000003,frisson,frisson_allonge_FV.csv
-0.38000000000000006,0.6335455784708784,-1.95,1.13,27.289,0.0,-1.1264,0.08905638663229042,-1.27,-0.83,63.83539999999999,0.0,-11.3842,0.16643425128260111,-11.93,-11.15,6481.385499999999,0.0,-0.008199999999999999,0.046116808215660374,-0.15,0.04,0.10970000000000002,1.4280000000000002,0.1646,0.3649559425464942,-0.48,1.25,8.0143,5.712000000000001,-0.0078000000000000005,0.03961262425035736,-0.11,0.11,0.08150000000000002,2.8560000000000003,frisson,frisson_allonge_FV.csv
0.5602,0.7333689112581743,-1.51,2.09,42.5827,0.0,-1.1078,0.2642899165689073,-1.75,-0.72,64.8535,0.0,-11.321399999999999,0.3456819925885641,-12.4,-10.73,6414.679700000001,0.0,0.021799999999999996,0.06473607958472616,-0.11,0.11,0.23329999999999998,1.4280000000000002,0.0504,0.47503246204864774,-1.14,0.8,11.4098,5.712000000000001,0.0007999999999999997,0.046939961653158606,-0.08,0.1,0.11020000000000002,5.712000000000001,frisson,frisson_allonge_FV.csv
-0.2674,0.8799609309509144,-1.69,1.65,42.2917,4.284000000000001,-1.0816000000000001,0.14193463284202346,-1.33,-0.76,59.5002,0.0,-11.377200000000002,0.3944365094663524,-12.17,-10.65,6479.813,0.0,0.0092,0.052643708076084456,-0.08,0.15,0.1428,4.284000000000001,-0.1112,0.48896478400801013,-1.26,0.87,12.572600000000001,4.284000000000001,0.018000000000000002,0.04368065933568311,-0.05,0.1,0.1116,0.0,frisson,frisson_allonge_FV.csv
-0.46259999999999996,0.7604756669348468,-2.49,1.35,39.61610000000001,0.0,-1.0730000000000002,0.09342911751697111,-1.35,-0.9,58.0029,0.0,-11.315199999999999,0.30376464573745254,-12.13,-10.67,6406.3012,0.0,0.0102,0.018054362353736007,-0.04,0.04,0.021500000000000002,0.0,0.06480000000000001,0.3788468819985193,-0.86,1.0,7.386199999999999,4.284000000000001,-0.009,0.04114608122288197,-0.11,0.06,0.08870000000000001,1.4280000000000002,frisson,frisson_allonge_FV.csv
-0.23799999999999996,0.6812782104250803,-2.61,0.77,26.0392,0.0,-1.0646,0.09575405996614451,-1.26,-0.74,57.127100000000006,0.0,-11.385800000000001,0.5462200655413529,-12.52,-10.03,6496.7399000000005,0.0,0.009200000000000002,0.0352613102422471,-0.07,0.08,0.06640000000000001,7.140000000000001,0.026000000000000002,0.31228832831215453,-0.63,0.77,4.91,7.140000000000001,0.0108,0.027410946718418903,-0.06,0.06,0.0434,0.0,frisson,frisson_allonge_FV.csv
-0.5630000000000001,0.5394673298727181,-1.81,0.48,30.399700000000003,0.0,-1.047,0.08716077099245965,-1.25,-0.85,55.19029999999999,0.0,-11.339800000000002,0.21111598707819346,-11.76,-10.9,6431.7817000000005,0.0,0.0158,0.020696859665176263,-0.02,0.08,0.033900000000000007,0.0,0.008600000000000002,0.26711053891600756,-0.47,0.75,3.5710999999999995,4.284000000000001,0.0254,0.033835484332280515,-0.05,0.11,0.0895,0.0,frisson,frisson_allonge_FV.csv
-0.3518,0.8513840261597583,-2.39,1.74,42.43090000000001,4.284000000000001,-1.0072,0.12952281652280417,-1.33,-0.72,51.561400000000006,0.0,-11.347999999999999,0.23846173697262213,-11.88,-10.56,6441.6984,0.0,0.0032,0.052552449990461915,-0.14,0.1,0.1386,2.8560000000000003,0.05580000000000001,0.3916431539041631,-0.66,1.28,7.8249,2.8560000000000003,0.0134,0.05938383618460498,-0.19,0.1,0.18530000000000002,4.284000000000001,frisson,frisson_allonge_FV.csv
